{'order_id': 'o_91186', 'user_id': 'u_9048550304', 'prod_id': '1651312', 'order_time': '02-05-2023_16:51:18'} 
{'order_id': 'o_41064', 'user_id': 'u_9048550304', 'prod_id': '1345310', 'order_time': '10-11-2022_14:18:45'} 
{'order_id': 'o_28853', 'user_id': 'u_9048550304', 'prod_id': '1549160', 'order_time': '30-03-2023_11:53:29'} 
{'order_id': 'o_25926', 'user_id': 'u_9048550304', 'prod_id': '1613312', 'order_time': '07-12-2022_08:58:45'} 
{'order_id': 'o_97172', 'user_id': 'u_9048550304', 'prod_id': '1452805', 'order_time': '31-12-2022_02:58:26'} 
{'order_id': 'o_32492', 'user_id': 'u_9048550304', 'prod_id': '1390810', 'order_time': '16-10-2022_19:23:07'} 
{'order_id': 'o_81165', 'user_id': 'u_9048550304', 'prod_id': '1615091', 'order_time': '14-03-2023_12:46:57'} 
{'order_id': 'o_28050', 'user_id': 'u_9048550304', 'prod_id': '1056334', 'order_time': '23-06-2022_17:49:42'} 
{'order_id': 'o_35870', 'user_id': 'u_9048550304', 'prod_id': '1719020', 'order_time': '04-09-2022_07:54:16'} 
{'order_id': 'o_43222', 'user_id': 'u_9048550304', 'prod_id': '1061612', 'order_time': '07-10-2022_06:18:05'} 
{'order_id': 'o_74120', 'user_id': 'u_9048550304', 'prod_id': '1722212', 'order_time': '16-11-2022_09:29:25'} 
{'order_id': 'o_93589', 'user_id': 'u_9048550304', 'prod_id': '1087757', 'order_time': '03-02-2023_13:00:56'} 
{'order_id': 'o_88274', 'user_id': 'u_9048550304', 'prod_id': '1451039', 'order_time': '03-01-2023_09:23:41'} 
{'order_id': 'o_79205', 'user_id': 'u_9048550304', 'prod_id': '1662569', 'order_time': '03-08-2022_15:25:32'} 
{'order_id': 'o_10577', 'user_id': 'u_9048550304', 'prod_id': '1423120', 'order_time': '22-07-2022_17:41:53'} 
{'order_id': 'o_68208', 'user_id': 'u_9048550304', 'prod_id': '1416724', 'order_time': '04-04-2023_18:45:28'} 
{'order_id': 'o_65923', 'user_id': 'u_9048550304', 'prod_id': '1167504', 'order_time': '27-02-2023_07:35:56'} 
{'order_id': 'o_95580', 'user_id': 'u_9048550304', 'prod_id': '1582145', 'order_time': '09-09-2022_06:16:31'} 
{'order_id': 'o_38664', 'user_id': 'u_9048550304', 'prod_id': '1240736', 'order_time': '08-09-2022_15:18:36'} 
{'order_id': 'o_98780', 'user_id': 'u_9048550304', 'prod_id': '1012701', 'order_time': '20-04-2023_11:11:13'} 
{'order_id': 'o_60273', 'user_id': 'u_9048550304', 'prod_id': '1713438', 'order_time': '06-03-2023_18:49:25'} 
{'order_id': 'o_74201', 'user_id': 'u_9048550304', 'prod_id': '1580298', 'order_time': '07-07-2022_20:30:22'} 
{'order_id': 'o_28838', 'user_id': 'u_9048550304', 'prod_id': '1722909', 'order_time': '07-02-2023_18:55:14'} 
{'order_id': 'o_93906', 'user_id': 'u_9048550304', 'prod_id': '1700676', 'order_time': '23-04-2023_00:24:49'} 
{'order_id': 'o_62453', 'user_id': 'u_9048550304', 'prod_id': '1025264', 'order_time': '01-08-2022_06:31:20'} 
{'order_id': 'o_73951', 'user_id': 'u_9048550304', 'prod_id': '1531718', 'order_time': '27-07-2022_02:19:04'} 
{'order_id': 'o_44081', 'user_id': 'u_9048550304', 'prod_id': '1673994', 'order_time': '16-03-2023_15:17:12'} 
{'order_id': 'o_54589', 'user_id': 'u_9048550304', 'prod_id': '1254697', 'order_time': '11-01-2023_17:56:06'} 
{'order_id': 'o_32155', 'user_id': 'u_9048550304', 'prod_id': '1237172', 'order_time': '09-06-2023_10:35:34'} 
{'order_id': 'o_42871', 'user_id': 'u_9048550304', 'prod_id': '1680432', 'order_time': '25-10-2022_14:30:39'} 
{'order_id': 'o_78314', 'user_id': 'u_9048550304', 'prod_id': '27928', 'order_time': '11-10-2022_21:47:50'} 
{'order_id': 'o_98317', 'user_id': 'u_9048550304', 'prod_id': '1659195', 'order_time': '28-02-2023_14:42:55'} 
{'order_id': 'o_80506', 'user_id': 'u_9048550304', 'prod_id': '1130451', 'order_time': '11-06-2022_07:00:40'} 
{'order_id': 'o_87502', 'user_id': 'u_9048550304', 'prod_id': '1649597', 'order_time': '28-12-2022_15:39:47'} 
{'order_id': 'o_56906', 'user_id': 'u_9048550304', 'prod_id': '1470774', 'order_time': '04-06-2023_10:40:16'} 
{'order_id': 'o_14543', 'user_id': 'u_9048550304', 'prod_id': '1606923', 'order_time': '04-05-2023_03:51:46'} 
{'order_id': 'o_18743', 'user_id': 'u_9048550304', 'prod_id': '1384938', 'order_time': '03-09-2022_09:36:27'} 
{'order_id': 'o_99012', 'user_id': 'u_9048550304', 'prod_id': '1676847', 'order_time': '10-06-2022_16:43:04'} 
{'order_id': 'o_49186', 'user_id': 'u_9048550304', 'prod_id': '1476682', 'order_time': '30-11-2022_19:38:54'} 
{'order_id': 'o_60496', 'user_id': 'u_9048550304', 'prod_id': '1658419', 'order_time': '07-06-2023_17:22:30'} 
{'order_id': 'o_23923', 'user_id': 'u_9048550304', 'prod_id': '1361031', 'order_time': '21-11-2022_09:16:25'} 
{'order_id': 'o_44362', 'user_id': 'u_9048550304', 'prod_id': '1296822', 'order_time': '07-09-2022_00:48:39'} 
{'order_id': 'o_75433', 'user_id': 'u_9048550304', 'prod_id': '1122258', 'order_time': '07-09-2022_03:22:14'} 
{'order_id': 'o_22696', 'user_id': 'u_9048550304', 'prod_id': '1362809', 'order_time': '15-01-2023_00:58:27'} 
{'order_id': 'o_54488', 'user_id': 'u_9048550304', 'prod_id': '1562553', 'order_time': '03-06-2023_19:08:21'} 
{'order_id': 'o_49762', 'user_id': 'u_9048550304', 'prod_id': '1203271', 'order_time': '09-09-2022_17:51:28'} 
{'order_id': 'o_80512', 'user_id': 'u_9048550304', 'prod_id': '1683884', 'order_time': '06-07-2022_06:59:48'} 
{'order_id': 'o_37054', 'user_id': 'u_9048550304', 'prod_id': '1161807', 'order_time': '01-07-2022_17:48:52'} 
{'order_id': 'o_16004', 'user_id': 'u_9048550304', 'prod_id': '1668813', 'order_time': '13-04-2023_08:06:07'} 
{'order_id': 'o_42584', 'user_id': 'u_9048550304', 'prod_id': '1519102', 'order_time': '29-03-2023_23:30:06'} 
{'order_id': 'o_99392', 'user_id': 'u_9048550304', 'prod_id': '1216683', 'order_time': '26-02-2023_21:50:11'} 
{'order_id': 'o_47033', 'user_id': 'u_9048550304', 'prod_id': '1132870', 'order_time': '13-12-2022_00:49:43'} 
{'order_id': 'o_11103', 'user_id': 'u_9048550304', 'prod_id': '1706247', 'order_time': '19-09-2022_13:52:53'} 
{'order_id': 'o_53571', 'user_id': 'u_9048550304', 'prod_id': '1637821', 'order_time': '04-07-2022_11:53:43'} 
{'order_id': 'o_94412', 'user_id': 'u_9048550304', 'prod_id': '1127103', 'order_time': '26-07-2022_11:31:29'} 
{'order_id': 'o_56649', 'user_id': 'u_9048550304', 'prod_id': '1350567', 'order_time': '03-05-2023_01:47:28'} 
{'order_id': 'o_11100', 'user_id': 'u_9048550304', 'prod_id': '1321603', 'order_time': '12-12-2022_20:36:07'} 
{'order_id': 'o_44283', 'user_id': 'u_9048550304', 'prod_id': '1174062', 'order_time': '07-05-2023_13:27:43'} 
{'order_id': 'o_45217', 'user_id': 'u_9048550304', 'prod_id': '1554177', 'order_time': '16-06-2022_02:54:49'} 
{'order_id': 'o_12488', 'user_id': 'u_9048550304', 'prod_id': '1426995', 'order_time': '23-05-2023_01:53:40'} 
{'order_id': 'o_87459', 'user_id': 'u_9048550304', 'prod_id': '1054863', 'order_time': '11-11-2022_01:18:56'} 
{'order_id': 'o_52459', 'user_id': 'u_9048550304', 'prod_id': '1226765', 'order_time': '02-10-2022_19:15:43'} 
{'order_id': 'o_69233', 'user_id': 'u_9048550304', 'prod_id': '1234320', 'order_time': '17-09-2022_06:04:09'} 
{'order_id': 'o_97513', 'user_id': 'u_9048550304', 'prod_id': '1680210', 'order_time': '25-02-2023_06:56:41'} 
{'order_id': 'o_94764', 'user_id': 'u_9048550304', 'prod_id': '1105589', 'order_time': '27-01-2023_13:55:05'} 
{'order_id': 'o_40712', 'user_id': 'u_9048550304', 'prod_id': '1210344', 'order_time': '03-09-2022_20:56:47'} 
{'order_id': 'o_71681', 'user_id': 'u_9048550304', 'prod_id': '1123792', 'order_time': '05-08-2022_15:04:20'} 
{'order_id': 'o_30739', 'user_id': 'u_9048550304', 'prod_id': '1506646', 'order_time': '25-01-2023_20:15:58'} 
{'order_id': 'o_17712', 'user_id': 'u_9048550304', 'prod_id': '1567621', 'order_time': '28-01-2023_12:40:31'} 
{'order_id': 'o_50392', 'user_id': 'u_9048550304', 'prod_id': '1187236', 'order_time': '20-04-2023_04:25:50'} 
{'order_id': 'o_57092', 'user_id': 'u_9048550304', 'prod_id': '1368590', 'order_time': '03-06-2023_07:14:44'} 
{'order_id': 'o_98189', 'user_id': 'u_9048550304', 'prod_id': '1671246', 'order_time': '11-11-2022_14:09:21'} 
{'order_id': 'o_87487', 'user_id': 'u_9048550304', 'prod_id': '1207925', 'order_time': '01-09-2022_13:26:26'} 
{'order_id': 'o_51621', 'user_id': 'u_9048550304', 'prod_id': '1485815', 'order_time': '22-04-2023_10:28:42'} 
{'order_id': 'o_45170', 'user_id': 'u_9048550304', 'prod_id': '1397550', 'order_time': '10-04-2023_18:55:09'} 
{'order_id': 'o_63111', 'user_id': 'u_9048550304', 'prod_id': '1433985', 'order_time': '06-02-2023_19:46:52'} 
{'order_id': 'o_44651', 'user_id': 'u_9048550304', 'prod_id': '1284729', 'order_time': '13-06-2022_15:53:35'} 
{'order_id': 'o_75841', 'user_id': 'u_9048550304', 'prod_id': '1298259', 'order_time': '31-03-2023_19:48:49'} 
{'order_id': 'o_91364', 'user_id': 'u_9048550304', 'prod_id': '1715542', 'order_time': '18-09-2022_09:56:22'} 
{'order_id': 'o_38658', 'user_id': 'u_9048550304', 'prod_id': '1406392', 'order_time': '07-05-2023_14:46:51'} 
{'order_id': 'o_94544', 'user_id': 'u_9048550304', 'prod_id': '1257918', 'order_time': '12-06-2022_15:59:59'} 
{'order_id': 'o_33926', 'user_id': 'u_9048550304', 'prod_id': '1078783', 'order_time': '20-01-2023_20:43:57'} 
{'order_id': 'o_74986', 'user_id': 'u_9048550304', 'prod_id': '1580687', 'order_time': '07-08-2022_17:36:25'} 
{'order_id': 'o_58913', 'user_id': 'u_9048550304', 'prod_id': '1161272', 'order_time': '16-06-2022_20:10:54'} 
{'order_id': 'o_61794', 'user_id': 'u_9048550304', 'prod_id': '1349259', 'order_time': '18-11-2022_09:51:42'} 
{'order_id': 'o_50160', 'user_id': 'u_9048550304', 'prod_id': '1011241', 'order_time': '04-01-2023_22:08:01'} 
{'order_id': 'o_70828', 'user_id': 'u_9048550304', 'prod_id': '1572443', 'order_time': '08-04-2023_00:26:12'} 
{'order_id': 'o_97400', 'user_id': 'u_9048550304', 'prod_id': '1371305', 'order_time': '28-05-2023_10:43:27'} 
{'order_id': 'o_58999', 'user_id': 'u_9048550304', 'prod_id': '1116786', 'order_time': '09-04-2023_18:05:16'} 
{'order_id': 'o_28693', 'user_id': 'u_9048550304', 'prod_id': '1386785', 'order_time': '28-10-2022_22:08:56'} 
{'order_id': 'o_38676', 'user_id': 'u_9048550304', 'prod_id': '1651960', 'order_time': '12-02-2023_07:22:31'} 
